property_id,scrape_timestamp,property_url,category,general_review,general_review_count,wifi_score,min_price,max_price,latitude,longitude,address,zone,city,wifi_speed
69c73a56-339f-4f50-bc28-4f2e379709d0,2025-09-10 14:53:19,https://www.booking.com/hotel/ma/pension-saada-tanger.html?aid=304142&label=gen173nr-10CAQoggJCDnNlYXJjaF90YW5naWVySDNYBGiMAYgBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgCxZqGxgbAAgHSAiRhZmE4NTBjMi0xNDI5LTRlYmEtOTRiNi0zYWRiMzA4ODgzNDXYAgHgAgE&ucfs=1&arphpl=1&checkin=2025-09-10&checkout=2025-09-11&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=17&hapos=43&sr_order=popularity&srpvid=525f66e26c96019a&srepoch=1757515092&all_sr_blocks=1337445001_406194515_1_0_0&highlighted_blocks=1337445001_406194515_1_0_0&matching_block_id=1337445001_406194515_1_0_0&sr_pri_blocks=1337445001_406194515_1_0_0__1620&from=searchresults,Hotel,7.3,57,8.3,171,191,35.7851528,-5.810679,Rue Rekiouak  Bni Idder  arrondissement de Tanger-Medina    Tangier  Pachalik de Tanger    Prefecture of Tangier - Assilah  Tangier-Tetouan-Al Hoceima  90030  Morocco,arrondissement de Tanger-Medina,Tangier,Not specified
e7004848-2978-4ad2-aa40-89415018b4b6,2025-09-10 14:53:28,https://www.booking.com/hotel/ma/veluxa-2-golf-star.html?aid=304142&label=gen173nr-10CAQoggJCDnNlYXJjaF90YW5naWVySDNYBGiMAYgBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgCxZqGxgbAAgHSAiRhZmE4NTBjMi0xNDI5LTRlYmEtOTRiNi0zYWRiMzA4ODgzNDXYAgHgAgE&ucfs=1&arphpl=1&checkin=2025-09-10&checkout=2025-09-11&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=18&hapos=44&sr_order=popularity&srpvid=525f66e26c96019a&srepoch=1757515092&all_sr_blocks=1452531305_417510331_5_0_0&highlighted_blocks=1452531305_417510331_5_0_0&matching_block_id=1452531305_417510331_5_0_0&sr_pri_blocks=1452531305_417510331_5_0_0__4675&from=searchresults,Apartment,8.8,18,9.4,495,557,35.7687183004973,-5.84734621819675,Moujahidine  arrondissement de Tanger-Medina    Tangier  Pachalik de Tanger    Prefecture of Tangier - Assilah  Tangier-Tetouan-Al Hoceima  90033  Morocco,Moujahidine,Tangier,Not specified
75d55398-ac8a-4eae-9c13-f0fa5782c74f,2025-09-10 14:53:41,https://www.booking.com/hotel/ma/hostel-tanger-medina.html?aid=304142&label=gen173nr-10CAQoggJCDnNlYXJjaF90YW5naWVySDNYBGiMAYgBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgCxZqGxgbAAgHSAiRhZmE4NTBjMi0xNDI5LTRlYmEtOTRiNi0zYWRiMzA4ODgzNDXYAgHgAgE&ucfs=1&arphpl=1&checkin=2025-09-10&checkout=2025-09-11&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=19&hapos=45&sr_order=popularity&srpvid=525f66e26c96019a&srepoch=1757515092&all_sr_blocks=1244825607_396607698_0_0_0&highlighted_blocks=1244825607_396607698_0_0_0&matching_block_id=1244825607_396607698_0_0_0&sr_pri_blocks=1244825607_396607698_0_0_0__2250&from=searchresults,Hostel,7.4,249,8.4,238,321,35.78467809900282,-5.809519983711555,Rue Koussour  Bni Idder  arrondissement de Tanger-Medina    Tangier  Pachalik de Tanger    Prefecture of Tangier - Assilah  Tangier-Tetouan-Al Hoceima  90030  Morocco,arrondissement de Tanger-Medina,Tangier,Not specified
7de38fd2-44a1-4ce0-9234-257008e81dc7,2025-09-10 14:53:50,https://www.booking.com/hotel/ma/malabata-guest-house-tanger.html?aid=304142&label=gen173nr-10CAQoggJCDnNlYXJjaF90YW5naWVySDNYBGiMAYgBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgCxZqGxgbAAgHSAiRhZmE4NTBjMi0xNDI5LTRlYmEtOTRiNi0zYWRiMzA4ODgzNDXYAgHgAgE&ucfs=1&arphpl=1&checkin=2025-09-10&checkout=2025-09-11&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=20&hapos=46&sr_order=popularity&srpvid=525f66e26c96019a&srepoch=1757515092&all_sr_blocks=134859502_86916551_1_41_0&highlighted_blocks=134859502_86916551_1_41_0&matching_block_id=134859502_86916551_1_41_0&sr_pri_blocks=134859502_86916551_1_41_0__4675&from=searchresults,Bed and Breakfast,7.5,353,7.5,495,1970,35.783844,-5.7576349999999366,Sania  arrondissement de Charf-Mghogha    Tangier  Pachalik de Tanger    Prefecture of Tangier - Assilah  Tangier-Tetouan-Al Hoceima  90070  Morocco,Sania,Tangier,Not specified
dce928e3-85b2-47b6-a59e-33ac151a4560,2025-09-10 14:54:02,https://www.booking.com/hotel/ma/appart-tanger-marjane.html?aid=304142&label=gen173nr-10CAQoggJCDnNlYXJjaF90YW5naWVySDNYBGiMAYgBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgCxZqGxgbAAgHSAiRhZmE4NTBjMi0xNDI5LTRlYmEtOTRiNi0zYWRiMzA4ODgzNDXYAgHgAgE&ucfs=1&arphpl=1&checkin=2025-09-10&checkout=2025-09-11&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=21&hapos=47&sr_order=popularity&srpvid=525f66e26c96019a&srepoch=1757515092&all_sr_blocks=196856601_383479544_1_0_0&highlighted_blocks=196856601_383479544_1_0_0&matching_block_id=196856601_383479544_1_0_0&sr_pri_blocks=196856601_383479544_1_0_0__4992&from=searchresults,Apartment-Hotel,7.6,233,7.5,528,1016,35.7493405553596,-5.843272805213928,arrondissement de Tanger-Medina    Tangier  Pachalik de Tanger    Prefecture of Tangier - Assilah  Tangier-Tetouan-Al Hoceima  90022  Morocco,arrondissement de Tanger-Medina,Tangier,Not specified
dfead9bb-9f69-49b3-b6ab-38f433e3c3a2,2025-09-10 14:54:12,https://www.booking.com/hotel/ma/le-balcon-de-tanger-tanger1.html?aid=304142&label=gen173nr-10CAQoggJCDnNlYXJjaF90YW5naWVySDNYBGiMAYgBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgCxZqGxgbAAgHSAiRhZmE4NTBjMi0xNDI5LTRlYmEtOTRiNi0zYWRiMzA4ODgzNDXYAgHgAgE&ucfs=1&arphpl=1&checkin=2025-09-10&checkout=2025-09-11&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=22&hapos=48&sr_order=popularity&srpvid=525f66e26c96019a&srepoch=1757515092&all_sr_blocks=768636706_376647677_2_34_0&highlighted_blocks=768636706_376647677_2_34_0&matching_block_id=768636706_376647677_2_34_0&sr_pri_blocks=768636706_376647677_2_34_0__16977&from=searchresults,Guesthouse,8.4,262,7.5,1797,1797,35.788703598179,-5.810073735568,Rue Bouhachem  Dar Barroud  arrondissement de Tanger-Medina    Tangier  Pachalik de Tanger    Prefecture of Tangier - Assilah  Tangier-Tetouan-Al Hoceima  90030  Morocco,arrondissement de Tanger-Medina,Tangier,Not specified
9561ef6c-8b27-428c-81de-cb2ebfd7956f,2025-09-10 14:54:21,https://www.booking.com/hotel/ma/el-minzah.html?aid=304142&label=gen173nr-10CAQoggJCDnNlYXJjaF90YW5naWVySDNYBGiMAYgBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgCxZqGxgbAAgHSAiRhZmE4NTBjMi0xNDI5LTRlYmEtOTRiNi0zYWRiMzA4ODgzNDXYAgHgAgE&ucfs=1&arphpl=1&checkin=2025-09-10&checkout=2025-09-11&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=23&hapos=49&sr_order=popularity&srpvid=525f66e26c96019a&srepoch=1757515092&all_sr_blocks=9837443_403640687_1_41_0_709588&highlighted_blocks=9837443_403640687_1_41_0_709588&matching_block_id=9837443_403640687_1_41_0_709588&sr_pri_blocks=9837443_403640687_1_41_0_709588_18200&from=searchresults,Hotel,8.7,3087,8.6,1927,6583,35.78182255357309,-5.812515914440155,Pharmacie Al Maghrib    56  Rue de la Libert    Bni Idder  arrondissement de Tanger-Medina    Tangier  Pachalik de Tanger    Prefecture of Tangier - Assilah  Tangier-Tetouan-Al Hoceima  90000  Morocco,arrondissement de Tanger-Medina,Tangier,Not specified
8b308358-b3e2-4268-a971-1fadf429869b,2025-09-10 14:54:31,https://www.booking.com/hotel/ma/mimi-calpe.html?aid=304142&label=gen173nr-10CAQoggJCDnNlYXJjaF90YW5naWVySDNYBGiMAYgBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgCxZqGxgbAAgHSAiRhZmE4NTBjMi0xNDI5LTRlYmEtOTRiNi0zYWRiMzA4ODgzNDXYAgHgAgE&ucfs=1&arphpl=1&checkin=2025-09-10&checkout=2025-09-11&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=24&hapos=50&sr_order=popularity&srpvid=525f66e26c96019a&srepoch=1757515092&all_sr_blocks=117933313_272055396_0_1_0&highlighted_blocks=117933313_272055396_0_1_0&matching_block_id=117933313_272055396_0_1_0&sr_pri_blocks=117933313_272055396_0_1_0__26500&from=searchresults,Bed and Breakfast,8.7,671,8.1,2805,3440,35.782856697197495,-5.808250598919699,Bni Idder  arrondissement de Tanger-Medina    Tangier  Pachalik de Tanger    Prefecture of Tangier - Assilah  Tangier-Tetouan-Al Hoceima  90013  Morocco,arrondissement de Tanger-Medina,Tangier,Not specified
ba3e8bf2-309c-409e-ad63-9981213814c9,2025-09-10 14:54:41,https://www.booking.com/hotel/ma/borj-yasmine.html?aid=304142&label=gen173nr-10CAQoggJCDnNlYXJjaF90YW5naWVySDNYBGiMAYgBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgCxZqGxgbAAgHSAiRhZmE4NTBjMi0xNDI5LTRlYmEtOTRiNi0zYWRiMzA4ODgzNDXYAgHgAgE&ucfs=1&arphpl=1&checkin=2025-09-10&checkout=2025-09-11&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=25&hapos=51&sr_order=popularity&srpvid=525f66e26c96019a&srepoch=1757515092&all_sr_blocks=911221603_408608868_1_42_0&highlighted_blocks=911221603_408608868_1_42_0&matching_block_id=911221603_408608868_1_42_0&sr_pri_blocks=911221603_408608868_1_42_0__13680&from=searchresults,Apartment,9.3,81,8.8,1448,3351,35.7732433227665,-5.79387878974563,Boulevard Mohamed V     Tanger-Medina  arrondissement de Tanger-Medina    Tangier  Pachalik de Tanger    Prefecture of Tangier - Assilah  Tangier-Tetouan-Al Hoceima  90030  Morocco,Tanger-Medina,Tangier,70 Mbps
4b5077c4-4986-4649-8f92-647d350bc0c3,2025-09-10 14:54:51,https://www.booking.com/hotel/ma/abm-house.html?aid=304142&label=gen173nr-10CAQoggJCDnNlYXJjaF90YW5naWVySDNYBGiMAYgBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgCxZqGxgbAAgHSAiRhZmE4NTBjMi0xNDI5LTRlYmEtOTRiNi0zYWRiMzA4ODgzNDXYAgHgAgE&ucfs=1&arphpl=1&checkin=2025-09-10&checkout=2025-09-11&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=52&sr_order=popularity&srpvid=525f66e26c96019a&srepoch=1757515101&all_sr_blocks=1133372401_394530927_1_1_0&highlighted_blocks=1133372401_394530927_1_1_0&matching_block_id=1133372401_394530927_1_1_0&sr_pri_blocks=1133372401_394530927_1_1_0__7622&from=searchresults,Apartment-Hotel,9.5,201,9.6,807,1372,35.770919395908,-5.79673005582,Rue Cheikh Miyara  arrondissement de Charf-Mghogha    Tangier  Pachalik de Tanger    Prefecture of Tangier - Assilah  Tangier-Tetouan-Al Hoceima  90023  Morocco,arrondissement de Charf-Mghogha,Tangier,Not specified
